uid,shape_idx,antes,despues,motivo
M_reductor_t30m25_26s,-1,Semáforo en verde,1 cabezas,semáforo anotado como pórtico: reemplazado por cabezas
M_reductor_t30m26_22s,-1,Semáforo en verde,1 cabezas,semáforo anotado como pórtico: reemplazado por cabezas
M_semaforo_t35m12_17s,-1,Semáforo en verde,(enmascarado),semáforo sin cabeza identificable: región en gris
P_flechaRectaDerecha_semaforo_flechaRecta_t35m21_70s,-1,Semáforo en rojo,1 cabezas,semáforo anotado como pórtico: reemplazado por cabezas
P_flechaRectaDerecha_semaforo_t23m17_86s,0,Semáforo en rojo,(enmascarado),caja de pórtico sin arreglo: región en gris
P_flechaRectaDerecha_semaforo_t23m23_99s,5,Semáforo en rojo,(enmascarado),caja de pórtico sin arreglo: región en gris
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00054983ms_f0001650,-1,Semáforo en rojo,(enmascarado),semáforo sin cabeza identificable: región en gris
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00054983ms_f0001650,-1,Semáforo en rojo,(enmascarado),semáforo sin cabeza identificable: región en gris
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00059982ms_f0001800,-1,Semáforo en rojo,1 cabezas,semáforo anotado como pórtico: reemplazado por cabezas
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00059982ms_f0001800,-1,Semáforo en rojo,(enmascarado),semáforo sin cabeza identificable: región en gris
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00064980ms_f0001950,-1,Semáforo en rojo,2 cabezas,semáforo anotado como pórtico: reemplazado por cabezas
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00064980ms_f0001950,-1,Semáforo en rojo,(enmascarado),semáforo sin cabeza identificable: región en gris
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00069979ms_f0002100,-1,Semáforo en rojo,(enmascarado),semáforo sin cabeza identificable: región en gris
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00074978ms_f0002250,-1,Semáforo en rojo,2 cabezas,semáforo anotado como pórtico: reemplazado por cabezas
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00074978ms_f0002250,-1,Semáforo en rojo,(enmascarado),semáforo sin cabeza identificable: región en gris
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00079976ms_f0002400,-1,Semáforo en rojo,3 cabezas,semáforo anotado como pórtico: reemplazado por cabezas
