uid,split,shape_idx,x0,y0,x1,y1
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00009997ms_f0000300,train,10,871.2,682.7,886.9,707.9
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00014995ms_f0000450,train,8,1256.9,654.7,1279.2,744.9
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00014995ms_f0000450,train,18,803.7,655.0,830.9,703.6
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00019994ms_f0000600,train,14,596.8,599.8,642.8,682.9
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00064980ms_f0001950,train,6,817.6,700.7,835.0,717.2
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00064980ms_f0001950,train,15,1376.4,710.7,1394.5,728.4
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00119964ms_f0003600,train,7,712.5,704.5,760.2,804.9
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00124963ms_f0003750,train,3,788.8,616.5,876.4,735.1
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00129961ms_f0003900,train,15,1541.9,810.4,1560.2,828.7
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00134960ms_f0004050,train,18,1691.2,797.9,1708.2,821.9
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00189944ms_f0005700,train,6,1233.2,816.2,1253.9,835.6
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00189944ms_f0005700,train,20,1669.3,835.5,1691.5,857.4
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00194942ms_f0005850,train,9,1056.5,788.7,1086.2,817.3
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00199941ms_f0006000,train,5,1204.9,769.0,1243.0,807.0
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00204939ms_f0006150,train,4,1221.8,763.5,1262.4,804.1
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00209938ms_f0006300,train,3,1261.5,776.3,1302.0,819.8
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00214937ms_f0006450,train,6,1272.5,785.8,1317.2,828.1
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00219935ms_f0006600,train,5,1356.0,748.6,1412.6,966.1
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00224934ms_f0006750,train,5,1405.3,739.1,1467.8,978.8
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00229932ms_f0006900,train,7,1417.9,745.7,1480.8,985.6
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00234931ms_f0007050,train,8,1416.0,746.0,1479.8,985.9
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00239929ms_f0007200,train,11,1511.4,699.7,1607.9,1060.3
L_20260607_08_Av_Eyzaguirre_24min_3_1GB_t00294913ms_f0008850,train,7,1282.6,804.7,1321.5,959.1
