uid,archivo,fuente,video,t,ubicacion,grupo,split,md5,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
M_flechaRecta_t33m04_27s,M_flechaRecta_t33m04_27s.jpg,M,MARIO_47min,1984.27,,0,train,e33082eeb8a7d8b9077ed4019b2868a7,0,2,4,2,2,0,0,0,0,0,0,0
M_flechaRecta_t33m05_87s,M_flechaRecta_t33m05_87s.jpg,M,MARIO_47min,1985.87,,0,train,9fa87a904be87bcbf4c49e98d7f1d13a,0,2,4,1,2,0,0,0,0,0,0,0
M_flechaRectaDerecha_flechaRecta_t21m56_02s,M_flechaRectaDerecha_flechaRecta_t21m56_02s.jpg,M,MARIO_47min,1316.02,,0,train,44532444d9137ab78110a8dd38212814,1,0,2,1,6,0,8,0,0,0,0,0
M_flechaRectaDerecha_flechaRecta_t32m27_82s,M_flechaRectaDerecha_flechaRecta_t32m27_82s.jpg,M,MARIO_47min,1947.82,,0,train,cc3a5f9f53f6e4130987e5b243ba175e,0,1,1,1,3,1,4,0,0,0,0,1
M_flechaRectaDerecha_flechaRecta_t33m38_10s,M_flechaRectaDerecha_flechaRecta_t33m38_10s.jpg,M,MARIO_47min,2018.1,,0,train,14c3f20468e3a53b0da095b98b64cf11,0,1,1,1,2,1,6,0,0,0,0,1
M_flechaRectaDerecha_flechaRecta_t35m43_69s,M_flechaRectaDerecha_flechaRecta_t35m43_69s.jpg,M,MARIO_47min,2143.69,,1,train,df7f73ca99930876b25e671bac72f6f0,1,0,1,2,4,0,5,0,1,0,0,0
M_flechaRectaDerecha_flechaRecta_t36m30_28s,M_flechaRectaDerecha_flechaRecta_t36m30_28s.jpg,M,MARIO_47min,2190.28,,1,train,850acfbece80c379684f6b9a555d488d,0,1,1,1,4,0,3,0,0,0,0,2
M_flechaRectaDerecha_flechaRecta_t36m47_90s,M_flechaRectaDerecha_flechaRecta_t36m47_90s.jpg,M,MARIO_47min,2207.9,,1,train,93effe04559d14fc4516e080c7bea20c,1,0,1,1,3,1,4,0,0,0,0,1
M_flechaRectaDerecha_semaforo_flechaRecta_t30m40_09s,M_flechaRectaDerecha_semaforo_flechaRecta_t30m40_09s.jpg,M,MARIO_47min,1840.09,,0,train,b67237b9126445669a68ad8ebe8468a6,0,2,1,1,0,1,5,0,0,0,1,2
M_flechaRectaDerecha_semaforo_flechaRecta_t35m14_30s,M_flechaRectaDerecha_semaforo_flechaRecta_t35m14_30s.jpg,M,MARIO_47min,2114.3,,1,train,c289bfc1faf4b688bb460458662c496d,0,1,1,0,2,1,3,0,0,1,0,0
M_flechaRectaDerecha_semaforo_flechaRecta_t35m15_73s,M_flechaRectaDerecha_semaforo_flechaRecta_t35m15_73s.jpg,M,MARIO_47min,2115.73,,1,train,23ac6566a209d73a184138928053b643,0,2,1,2,2,0,5,0,0,1,0,1
M_flechaRectaDerecha_semaforo_t23m26_02s,M_flechaRectaDerecha_semaforo_t23m26_02s.jpg,M,MARIO_47min,1406.02,,0,train,a083062719a83882c33bdb3ccb87499f,0,1,0,1,6,2,4,0,0,0,1,1
M_reductor_flechaRectaDerecha_flechaRecta_t33m31_03s,M_reductor_flechaRectaDerecha_flechaRecta_t33m31_03s.jpg,M,MARIO_47min,2011.03,,0,train,f28bfb831774056a751f8ef941a14b61,1,0,0,0,1,0,6,2,0,0,0,0
M_reductor_flechaRectaDerecha_flechaRecta_t33m32_00s,M_reductor_flechaRectaDerecha_flechaRecta_t33m32_00s.jpg,M,MARIO_47min,2012.0,,0,train,1c064215f76712dbb70b05541d941c4a,1,0,1,1,0,1,6,2,0,0,0,0
M_reductor_flechaRecta_t19m23_97s,M_reductor_flechaRecta_t19m23_97s.jpg,M,MARIO_47min,1163.97,,2,test,fcdc1667db6c12454cf60acade63b39e,1,0,3,1,3,0,8,0,1,0,0,0
M_reductor_flechaRecta_t19m25_87s,M_reductor_flechaRecta_t19m25_87s.jpg,M,MARIO_47min,1165.87,,2,test,fd1a73ced63535119b453d96e10e108a,1,0,2,0,4,0,9,0,0,0,0,0
M_reductor_flechaRecta_t21m02_04s,M_reductor_flechaRecta_t21m02_04s.jpg,M,MARIO_47min,1262.04,,3,train,23f8632343e7fa2c9ae07f5271d804d8,1,0,3,0,3,0,7,1,0,0,0,0
M_reductor_flechaRecta_t22m52_13s,M_reductor_flechaRecta_t22m52_13s.jpg,M,MARIO_47min,1372.13,,0,train,80a3bb4cd9d61f767d8492f5b05f139b,1,0,3,0,1,0,7,1,1,0,0,0
M_reductor_t05m49_89s,M_reductor_t05m49_89s.jpg,M,MARIO_47min,349.89,,4,test,11b0b934d4e37705ebaa1e5eb7da4a48,1,0,0,0,0,1,1,1,0,0,0,0
M_reductor_t21m04_17s,M_reductor_t21m04_17s.jpg,M,MARIO_47min,1264.17,,3,train,65ae56116c53bd406da4a03cb81739c5,1,0,0,0,3,0,8,0,0,0,0,0
M_reductor_t22m53_93s,M_reductor_t22m53_93s.jpg,M,MARIO_47min,1373.93,,0,train,1a28bbea1c22a3779c60cda84b003844,1,0,0,0,1,0,7,1,0,0,0,0
M_reductor_t30m25_26s,M_reductor_t30m25_26s.jpg,M,MARIO_47min,1825.26,,0,train,33ee51c4d2723ac7923e47acdd3621bb,1,0,0,0,0,0,4,0,0,1,0,1
M_reductor_t30m26_22s,M_reductor_t30m26_22s.jpg,M,MARIO_47min,1826.22,,0,train,abc8dda213dabd5e77f44f1558de79b3,1,0,0,0,2,1,2,0,0,1,0,2
M_reductor_t32m20_95s,M_reductor_t32m20_95s.jpg,M,MARIO_47min,1940.95,,0,train,a542fd0142d65e51b8ea0d02ba5b8f7c,1,1,1,1,3,1,3,1,0,0,0,1
M_reductor_t32m55_74s,M_reductor_t32m55_74s.jpg,M,MARIO_47min,1975.74,,0,train,c00d138d3220437b6b5253632ed07821,1,1,0,0,3,0,2,0,0,0,0,0
M_reductor_t32m58_81s,M_reductor_t32m58_81s.jpg,M,MARIO_47min,1978.81,,0,train,bbb89e2f655c5d2a28ad70f93e02ef95,1,1,2,0,2,0,1,0,0,0,0,0
M_reductor_t33m29_83s,M_reductor_t33m29_83s.jpg,M,MARIO_47min,2009.83,,0,train,d3f1f66c8c6b7ff715c6b306d014c919,1,0,1,1,2,0,6,2,0,0,0,0
M_reductor_t34m50_24s,M_reductor_t34m50_24s.jpg,M,MARIO_47min,2090.24,,1,train,58023e3d7e42b79429ba53559d2dca62,2,0,0,0,0,0,3,0,0,0,0,1
M_reductor_t36m08_25s,M_reductor_t36m08_25s.jpg,M,MARIO_47min,2168.25,,1,train,5b985f36aec7a86064ce75d1741a9799,1,0,0,0,4,0,8,0,0,0,0,0
M_reductor_t37m26_86s,M_reductor_t37m26_86s.jpg,M,MARIO_47min,2246.86,,1,train,7190de0753f9dfe3f49309593101b82b,1,0,0,0,0,0,2,1,1,0,0,0
M_reductor_t37m28_09s,M_reductor_t37m28_09s.jpg,M,MARIO_47min,2248.09,,1,train,caf27900a32de4237b4a37e8c29d45b5,1,0,0,0,0,0,3,1,0,0,0,0
M_reductor_t44m52_22s,M_reductor_t44m52_22s.jpg,M,MARIO_47min,2692.22,,5,val,8582b6dede219f5572aba6073224d50a,1,0,0,0,2,0,3,0,0,0,0,0
M_reductor_t45m05_28s,M_reductor_t45m05_28s.jpg,M,MARIO_47min,2705.28,,5,val,34df18ee849a452f68b4d0c3a1050e5d,1,0,0,0,2,0,2,0,0,0,0,0
M_reductor_t45m29_74s,M_reductor_t45m29_74s.jpg,M,MARIO_47min,2729.74,,5,val,10ee3e0dd182c9182f5ce3f0c28be753,1,0,0,0,1,0,1,0,0,0,0,0
M_reductor_t45m45_73s,M_reductor_t45m45_73s.jpg,M,MARIO_47min,2745.73,,5,val,9406ec6380c37bde4c0f2acec52ead90,1,0,0,0,0,1,1,0,0,0,0,0
M_reductor_t45m48_23s,M_reductor_t45m48_23s.jpg,M,MARIO_47min,2748.23,,5,val,d4d959377ea76a24e2419ca04fef9720,1,1,0,0,0,1,1,0,0,0,0,0
M_semaforo_flechaRecta_t04m10_05s,M_semaforo_flechaRecta_t04m10_05s.jpg,M,MARIO_47min,250.05,,6,test,78903678c97bbe799dbef96dad6898e0,0,1,0,2,1,0,4,0,0,0,1,0
M_semaforo_flechaRecta_t17m56_83s,M_semaforo_flechaRecta_t17m56_83s.jpg,M,MARIO_47min,1076.83,,7,val,814bb313c60cba6202b10d510f0d7b24,0,1,1,0,1,1,6,0,1,0,2,0
M_semaforo_flechaRecta_t20m29_91s,M_semaforo_flechaRecta_t20m29_91s.jpg,M,MARIO_47min,1229.91,,3,train,be1f99def9d956bb84a89b1ebbe0c9bc,0,1,2,0,3,1,6,0,0,1,0,0
M_semaforo_flechaRecta_t22m27_94s,M_semaforo_flechaRecta_t22m27_94s.jpg,M,MARIO_47min,1347.94,,0,train,5839cbf3b9018f908e817e6c7cc96105,0,1,2,0,9,0,7,0,1,1,0,1
M_semaforo_flechaRecta_t47m00_21s,M_semaforo_flechaRecta_t47m00_21s.jpg,M,MARIO_47min,2820.21,,8,train,78e5ffb234d4d264b74bbab99e37613c,0,1,0,0,9,0,3,0,0,2,0,1
M_semaforo_t04m13_79s,M_semaforo_t04m13_79s.jpg,M,MARIO_47min,253.79,,6,test,4a913ae64e040ffc34cce9a40af2841e,0,2,0,0,1,1,7,0,0,0,1,0
M_semaforo_t05m04_27s,M_semaforo_t05m04_27s.jpg,M,MARIO_47min,304.27,,9,test,d445cfe6e61155cfe0412fe0918380b6,0,1,0,0,0,1,2,0,0,1,1,0
M_semaforo_t18m29_78s,M_semaforo_t18m29_78s.jpg,M,MARIO_47min,1109.78,,10,train,f30b6b30d788f0fb845a1b82d9d95921,0,1,0,0,5,1,2,0,0,0,1,0
M_semaforo_t18m59_97s,M_semaforo_t18m59_97s.jpg,M,MARIO_47min,1139.97,,2,test,592539cc0a08ab7c55522beae2ab6e95,0,1,0,0,1,1,4,1,0,1,0,0
M_semaforo_t20m35_88s,M_semaforo_t20m35_88s.jpg,M,MARIO_47min,1235.88,,3,train,336f2cc9c266d93e180ed69ada285d0d,0,1,0,0,3,2,4,0,1,1,0,0
M_semaforo_t22m29_74s,M_semaforo_t22m29_74s.jpg,M,MARIO_47min,1349.74,,0,train,e627f4fd73c26f050ff3be7f7ccbfa30,0,1,0,0,2,0,8,0,1,2,0,0
